Machine,Start,End,Length,Jobs on Machine
I100_M001,563,575,12,"J44, J45"
I101_M001,575,580,5,"J44, J45"
I101_M002,575,580,5,J46
I103_M001,584,592,8,"J45, J46"
I104_M001,592,599,7,"J45, J46"
I104_M002,592,599,7,J47
I106_M001,601,602,1,"J46, J47"
I106_M002,601,602,1,J48
I108_M001,603,613,10,"J47, J48"
I109_M001,613,621,8,"J47, J48"
I109_M002,613,621,8,J49
I110_M001,621,626,5,"J48, J49"
I111_M001,626,633,7,"J48, J49"
I111_M002,626,633,7,J50
I113_M001,637,639,2,J50
I114_M001,639,651,12,"J50, J51"
I115_M001,651,655,4,"J50, J51"
I115_M002,651,655,4,J52
I117_M001,660,668,8,"J51, J52"
I118_M001,668,674,6,"J51, J52"
I118_M002,668,674,6,J53
I120_M001,675,677,2,"J52, J53"
I121_M001,677,690,13,"J52, J53"
I121_M002,677,690,13,J54
I122_M001,690,692,2,"J52, J53"
I122_M002,690,692,2,"J54, J55"
I124_M001,694,695,1,"J53, J54"
I124_M002,694,695,1,J55
I125_M001,695,703,8,"J54, J55"
I126_M001,703,708,5,"J54, J55"
I126_M002,703,708,5,J56
I128_M001,709,715,6,"J55, J56"
I129_M001,715,727,12,"J55, J56"
I129_M002,715,727,12,J57
I131_M001,732,744,12,"J57, J58"
I132_M001,744,748,4,"J57, J58"
I132_M002,744,748,4,J59
I134_M001,750,753,3,"J58, J59"
I135_M001,753,766,13,"J58, J59"
I135_M002,753,766,13,J60
I136_M001,766,767,1,"J58, J59"
I136_M002,766,767,1,"J60, J61"
I138_M001,769,770,1,"J59, J60"
I138_M002,769,770,1,J61
I139_M001,770,779,9,"J60, J61"
I140_M001,779,782,3,"J60, J61"
I140_M002,779,782,3,J62
I142_M001,783,792,9,"J61, J62"
I143_M001,792,801,9,"J61, J62"
I143_M002,792,801,9,J63
I145_M001,806,818,12,"J63, J64"
I146_M001,818,823,5,"J63, J64"
I146_M002,818,823,5,J65
I148_M001,827,830,3,"J64, J65"
I149_M001,830,841,11,"J64, J65"
I149_M002,830,841,11,J66
I151_M001,843,844,1,"J65, J66"
I151_M002,843,844,1,J67
I152_M001,844,855,11,"J66, J67"
I153_M001,855,857,2,"J66, J67"
I153_M002,855,857,2,J68
I155_M001,860,869,9,"J67, J68"
I156_M001,869,876,7,"J67, J68"
I156_M002,869,876,7,J69
I158_M001,877,881,4,"J68, J69"
I159_M001,881,894,13,"J68, J69"
I159_M002,881,894,13,J70
I161_M001,900,907,7,"J70, J71"
I162_M001,907,916,9,"J70, J71"
I162_M002,907,916,9,J72
I164_M001,917,919,2,"J71, J72"
I165_M001,919,931,12,"J71, J72"
I165_M002,919,931,12,J73
I166_M001,931,932,1,"J71, J73"
I167_M001,932,935,3,"J71, J73"
I167_M002,932,935,3,J74
I169_M001,938,946,8,"J73, J74"
I170_M001,946,950,4,"J73, J74"
I170_M002,946,950,4,J75
I172_M001,951,957,6,"J74, J75"
I173_M001,957,969,12,"J74, J75"
I173_M002,957,969,12,J76
I175_M001,975,983,8,"J76, J77"
I176_M001,983,990,7,"J76, J77"
I176_M002,983,990,7,J78
I178_M001,992,996,4,"J77, J78"
I179_M001,996,1006,10,"J77, J78"
I179_M002,996,1006,10,J79
I180_M001,1006,1008,2,"J77, J79"
I181_M001,1008,1009,1,"J77, J79"
I181_M002,1008,1009,1,J80
I183_M001,1012,1022,10,"J79, J80"
I184_M001,1022,1025,3,"J79, J80"
I184_M002,1022,1025,3,J81
I186_M001,1026,1034,8,"J80, J81"
I187_M001,1034,1043,9,"J80, J81"
I187_M002,1034,1043,9,J82
I189_M001,1049,1052,3,J82
I190_M001,1052,1059,7,"J82, J83"
I191_M001,1059,1065,6,"J82, J83"
I191_M002,1059,1065,6,J84
I193_M001,1067,1072,5,"J83, J84"
I194_M001,1072,1084,12,"J83, J84"
I194_M002,1072,1084,12,J85
I195_M001,1084,1085,1,"J84, J85"
I196_M001,1085,1096,11,"J84, J85"
I196_M002,1085,1096,11,J86
I198_M001,1100,1111,11,"J86, J87"
I199_M001,1111,1118,7,"J86, J87"
I199_M002,1111,1118,7,J88
I201_M001,1121,1128,7,"J87, J88"
I202_M001,1128,1136,8,"J87, J88"
I202_M002,1128,1136,8,J89
I203_M001,1136,1137,1,"J87, J88"
I203_M002,1136,1137,1,"J89, J90"
I205_M001,1139,1149,10,"J89, J90"
I206_M001,1149,1158,9,"J89, J90"
I206_M002,1149,1158,9,J91
I207_M001,1158,1161,3,"J90, J91"
I208_M001,1161,1171,10,"J90, J91"
I208_M002,1161,1171,10,J92
I210_M001,1175,1187,12,"J92, J93"
I211_M001,1187,1192,5,"J92, J93"
I211_M002,1187,1192,5,J94
I213_M001,1196,1204,8,"J93, J94"
I214_M001,1204,1211,7,"J93, J94"
I214_M002,1204,1211,7,J95
I216_M001,1213,1214,1,"J94, J95"
I216_M002,1213,1214,1,J96
I218_M001,1215,1225,10,"J95, J96"
I219_M001,1225,1233,8,"J95, J96"
I219_M002,1225,1233,8,J97
I220_M001,1233,1238,5,"J96, J97"
I221_M001,1238,1245,7,"J96, J97"
I221_M002,1238,1245,7,J98
I223_M001,1249,1251,2,J98
I224_M001,1251,1263,12,"J98, J99"
I225_M001,1263,1267,4,"J100, J98"
I225_M002,1263,1267,4,J99
I227_M001,1272,1280,8,"J100, J99"
I228_M001,1280,1286,6,"J100, J101"
I228_M002,1280,1286,6,J99
I230_M001,1287,1289,2,"J100, J101"
I231_M001,1289,1302,13,"J100, J101"
I231_M002,1289,1302,13,J102
I232_M001,1302,1304,2,"J100, J101"
I232_M002,1302,1304,2,"J102, J103"
I234_M001,1306,1307,1,"J101, J102"
I234_M002,1306,1307,1,J103
I235_M001,1307,1315,8,"J102, J103"
I236_M001,1315,1320,5,"J102, J103"
I236_M002,1315,1320,5,J104
I238_M001,1321,1327,6,"J103, J104"
I239_M001,1327,1339,12,"J103, J104"
I239_M002,1327,1339,12,J105
I241_M001,1344,1356,12,"J105, J106"
I242_M001,1356,1360,4,"J105, J106"
I242_M002,1356,1360,4,J107
I244_M001,1362,1365,3,"J106, J107"
I245_M001,1365,1378,13,"J106, J107"
I245_M002,1365,1378,13,J108
I246_M001,1378,1379,1,"J106, J107"
I246_M002,1378,1379,1,"J108, J109"
I248_M001,1381,1382,1,"J107, J108"
I248_M002,1381,1382,1,J109
I249_M001,1382,1391,9,"J108, J109"
I250_M001,1391,1394,3,"J108, J109"
I250_M002,1391,1394,3,J110
I252_M001,1395,1404,9,"J109, J110"
I253_M001,1404,1413,9,"J109, J110"
I253_M002,1404,1413,9,J111
I255_M001,1418,1430,12,"J111, J112"
I256_M001,1430,1435,5,"J111, J112"
I256_M002,1430,1435,5,J113
I258_M001,1439,1442,3,"J112, J113"
I259_M001,1442,1453,11,"J112, J113"
I259_M002,1442,1453,11,J114
I261_M001,1455,1456,1,"J113, J114"
I261_M002,1455,1456,1,J115
I262_M001,1456,1467,11,"J114, J115"
I263_M001,1467,1469,2,"J114, J115"
I263_M002,1467,1469,2,J116
I265_M001,1472,1481,9,"J115, J116"
I266_M001,1481,1488,7,"J115, J116"
I266_M002,1481,1488,7,J117
I268_M001,1489,1493,4,"J116, J117"
I269_M001,1493,1506,13,"J116, J117"
I269_M002,1493,1506,13,J118
I271_M001,1512,1519,7,"J118, J119"
I272_M001,1519,1528,9,"J118, J119"
I272_M002,1519,1528,9,J120
I274_M001,1529,1531,2,"J119, J120"
I275_M001,1531,1543,12,"J119, J120"
I275_M002,1531,1543,12,J121
I276_M001,1543,1544,1,"J119, J121"
I277_M001,1544,1547,3,"J119, J121"
I277_M002,1544,1547,3,J122
I279_M001,1550,1558,8,"J121, J122"
I280_M001,1558,1562,4,"J121, J122"
I280_M002,1558,1562,4,J123
I282_M001,1563,1569,6,"J122, J123"
I283_M001,1569,1581,12,"J122, J123"
I283_M002,1569,1581,12,J124
I285_M001,1587,1595,8,"J124, J125"
I286_M001,1595,1602,7,"J124, J125"
I286_M002,1595,1602,7,J126
I288_M001,1604,1608,4,"J125, J126"
I289_M001,1608,1618,10,"J125, J126"
I289_M002,1608,1618,10,J127
I290_M001,1618,1620,2,"J125, J127"
I291_M001,1620,1621,1,"J125, J127"
I291_M002,1620,1621,1,J128
I293_M001,1624,1634,10,"J127, J128"
I294_M001,1634,1637,3,"J127, J128"
I294_M002,1634,1637,3,J129
I296_M001,1638,1646,8,"J128, J129"
I297_M001,1646,1655,9,"J128, J129"
I297_M002,1646,1655,9,J130
I299_M001,1661,1664,3,J130
I300_M001,1664,1671,7,"J130, J131"
I301_M001,1671,1677,6,"J130, J131"
I301_M002,1671,1677,6,J132
I303_M001,1679,1684,5,"J131, J132"
I304_M001,1684,1696,12,"J131, J132"
I304_M002,1684,1696,12,J133
I305_M001,1696,1697,1,"J132, J133"
I306_M001,1697,1708,11,"J132, J133"
I306_M002,1697,1708,11,J134
I308_M001,1712,1723,11,"J134, J135"
I309_M001,1723,1730,7,"J134, J135"
I309_M002,1723,1730,7,J136
I311_M001,1733,1740,7,"J135, J136"
I312_M001,1740,1748,8,"J135, J136"
I312_M002,1740,1748,8,J137
I313_M001,1748,1749,1,"J135, J136"
I313_M002,1748,1749,1,"J137, J138"
I315_M001,1751,1761,10,"J137, J138"
I316_M001,1761,1770,9,"J137, J138"
I316_M002,1761,1770,9,J139
I317_M001,1770,1773,3,"J138, J139"
I318_M001,1773,1783,10,"J138, J139"
I318_M002,1773,1783,10,J140
I320_M001,1787,1799,12,"J140, J141"
I321_M001,1799,1804,5,"J140, J141"
I321_M002,1799,1804,5,J142
I323_M001,1808,1816,8,"J141, J142"
I324_M001,1816,1823,7,"J141, J142"
I324_M002,1816,1823,7,J143
I326_M001,1825,1826,1,"J142, J143"
I326_M002,1825,1826,1,J144
I328_M001,1827,1837,10,"J143, J144"
I329_M001,1837,1845,8,"J143, J144"
I329_M002,1837,1845,8,J145
I330_M001,1845,1850,5,"J144, J145"
I331_M001,1850,1857,7,"J144, J145"
I331_M002,1850,1857,7,J146
I333_M001,1861,1863,2,J146
I334_M001,1863,1875,12,"J146, J147"
I335_M001,1875,1879,4,"J146, J147"
I335_M002,1875,1879,4,J148
I337_M001,1884,1892,8,"J147, J148"
I338_M001,1892,1898,6,"J147, J148"
I338_M002,1892,1898,6,J149
I340_M001,1899,1901,2,"J148, J149"
I341_M001,1901,1916,15,"J148, J149"
I341_M002,1901,1916,15,J150
I343_M001,1918,1919,1,"J149, J150"
I344_M001,1919,1932,13,J150
