Machine,Start,End,Length,Jobs on Machine
I001_M001,4,14,10,J1
I002_M001,14,24,10,"J1, J2"
I004_M001,28,39,11,"J2, J3"
I005_M001,39,43,4,"J2, J3"
I005_M002,39,43,4,J4
I007_M001,47,55,8,"J3, J4"
I008_M001,55,62,7,"J3, J4"
I008_M002,55,62,7,J5
I010_M001,64,65,1,"J4, J5"
I011_M001,65,78,13,"J4, J5"
I011_M002,65,78,13,J6
I012_M001,78,80,2,"J4, J5"
I012_M002,78,80,2,"J6, J7"
I014_M001,82,83,1,"J5, J6"
I014_M002,82,83,1,J7
I015_M001,83,91,8,"J6, J7"
I016_M001,91,96,5,"J6, J7"
I016_M002,91,96,5,J8
I018_M001,97,103,6,"J7, J8"
I019_M001,103,115,12,"J7, J8"
I019_M002,103,115,12,J9
I021_M001,120,132,12,"J10, J9"
I022_M001,132,136,4,"J10, J11"
I022_M002,132,136,4,J9
I024_M001,138,141,3,"J10, J11"
I025_M001,141,154,13,"J10, J11"
I025_M002,141,154,13,J12
I026_M001,154,155,1,"J10, J11"
I026_M002,154,155,1,"J12, J13"
I028_M001,157,158,1,"J11, J12"
I028_M002,157,158,1,J13
I029_M001,158,167,9,"J12, J13"
I030_M001,167,170,3,"J12, J13"
I030_M002,167,170,3,J14
I032_M001,171,180,9,"J13, J14"
I033_M001,180,189,9,"J13, J14"
I033_M002,180,189,9,J15
I035_M001,194,206,12,"J15, J16"
I036_M001,206,211,5,"J15, J16"
I036_M002,206,211,5,J17
I038_M001,215,218,3,"J16, J17"
I039_M001,218,229,11,"J16, J17"
I039_M002,218,229,11,J18
I041_M001,231,232,1,"J17, J18"
I041_M002,231,232,1,J19
I042_M001,232,243,11,"J18, J19"
I043_M001,243,245,2,"J18, J19"
I043_M002,243,245,2,J20
I045_M001,248,257,9,"J19, J20"
I046_M001,257,264,7,"J19, J20"
I046_M002,257,264,7,J21
I048_M001,265,269,4,"J20, J21"
I049_M001,269,282,13,"J20, J21"
I049_M002,269,282,13,J22
I051_M001,288,295,7,"J22, J23"
I052_M001,295,304,9,"J22, J23"
I052_M002,295,304,9,J24
I054_M001,305,307,2,"J23, J24"
I055_M001,307,319,12,"J23, J24"
I055_M002,307,319,12,J25
I056_M001,319,320,1,"J23, J25"
I057_M001,320,323,3,"J23, J25"
I057_M002,320,323,3,J26
I059_M001,326,334,8,"J25, J26"
I060_M001,334,338,4,"J25, J26"
I060_M002,334,338,4,J27
I062_M001,339,345,6,"J26, J27"
I063_M001,345,357,12,"J26, J27"
I063_M002,345,357,12,J28
I065_M001,363,371,8,"J28, J29"
I066_M001,371,378,7,"J28, J29"
I066_M002,371,378,7,J30
I068_M001,380,384,4,"J29, J30"
I069_M001,384,394,10,"J29, J30"
I069_M002,384,394,10,J31
I070_M001,394,396,2,"J29, J31"
I071_M001,396,397,1,"J29, J31"
I071_M002,396,397,1,J32
I073_M001,400,410,10,"J31, J32"
I074_M001,410,413,3,"J31, J32"
I074_M002,410,413,3,J33
I076_M001,414,422,8,"J32, J33"
I077_M001,422,431,9,"J32, J33"
I077_M002,422,431,9,J34
I079_M001,437,440,3,J34
I080_M001,440,447,7,"J34, J35"
I081_M001,447,453,6,"J34, J35"
I081_M002,447,453,6,J36
I083_M001,455,460,5,"J35, J36"
I084_M001,460,472,12,"J35, J36"
I084_M002,460,472,12,J37
I085_M001,472,473,1,"J36, J37"
I086_M001,473,484,11,"J36, J37"
I086_M002,473,484,11,J38
I088_M001,488,499,11,"J38, J39"
I089_M001,499,506,7,"J38, J39"
I089_M002,499,506,7,J40
I091_M001,509,516,7,"J39, J40"
I092_M001,516,524,8,"J39, J40"
I092_M002,516,524,8,J41
I093_M001,524,525,1,"J39, J40"
I093_M002,524,525,1,"J41, J42"
I095_M001,527,537,10,"J41, J42"
I096_M001,537,546,9,"J41, J42"
I096_M002,537,546,9,J43
I097_M001,546,549,3,"J42, J43"
I098_M001,549,559,10,"J42, J43"
I098_M002,549,559,10,J44
